iter	RMSE
173	0.3929340429
174	0.3920373855
175	0.3918542573
176	0.3915124796
177	0.3893963105
178	0.3881897351
179	0.3876900456
180	0.3874055126
181	0.385978315
182	0.38576589
183	0.3843594231
184	0.3842448353
185	0.3841519334
186	0.3836369153
187	0.3832957776
188	0.383200547
189	0.3830300442
190	0.3823858194
191	0.3811506035
192	0.3809666922
193	0.3805782596
194	0.3805085888
195	0.3794396638
196	0.3785185869
197	0.3782313365
198	0.3773938765
199	0.3772999191
200	0.3750699845
201	0.3744384442
202	0.3729947565
203	0.37289518
204	0.3713108686
205	0.369633586
206	0.3695410629
207	0.3690529705
208	0.3689879634
209	0.368129857
210	0.3680646139
211	0.3679543853
212	0.3673195547
213	0.3660096294
214	0.3659449866
215	0.3640476847
216	0.3639766843
217	0.3633788621
218	0.3617105431
219	0.3616436089
220	0.360596359
221	0.3605232205
222	0.3604601859
223	0.3604123872
224	0.3587469281
225	0.3579137163
226	0.3577080229
227	0.3569004706
228	0.3554174365
229	0.3542386988
230	0.352845753
231	0.3527871117
232	0.3514529596
233	0.3502925429
234	0.3498210794
235	0.3488464678
236	0.3480458213
237	0.3468737267
238	0.3468165245
239	0.3453915778
240	0.344720321
241	0.3446634555
242	0.34372777
243	0.3426631403
244	0.3413956233
245	0.3406167546
246	0.3396995173
247	0.3388119473
248	0.3376421255
249	0.3364809252
250	0.3355370226
251	0.3344638944
252	0.3330871626
253	0.3330353955
254	0.3314876962
255	0.3304834604
256	0.329836882
257	0.3297892725
258	0.3283804375
259	0.3271126924
260	0.326224391
261	0.3258973328
262	0.3244313905
263	0.3237954281
264	0.3228374764
265	0.3221461027
266	0.3208375063
267	0.3197678816
268	0.318866491
269	0.3180586795
270	0.3171522149
271	0.3166425727
272	0.3155661956
273	0.3135674169
274	0.3125734135
275	0.3116300002
276	0.3107650738
277	0.3093308199
278	0.3080564193
279	0.3074646732
280	0.3073426405
281	0.3060748421
282	0.3054249156
283	0.3036147063
284	0.3030985231
285	0.3013567494
286	0.3009678782
287	0.3001591479
288	0.2992976612
289	0.2983434607
290	0.2976510329
291	0.2965590875
292	0.2953116145
293	0.2939818493
294	0.2931254603
295	0.2930245644
296	0.2924916041
297	0.2914872895
298	0.2905399781
299	0.2893859161
300	0.2879817095
301	0.2871219663
302	0.286485786
303	0.2858091935
304	0.285070452
305	0.2845817104
306	0.2838934276
307	0.2831490004
308	0.2824457551
309	0.281615489
310	0.2807237376
311	0.2796672513
312	0.2795422195
313	0.2783905257
314	0.2768847851
315	0.2759512796
316	0.2755846937
317	0.2743782092
318	0.2741240913
319	0.2729277443
320	0.2722880578
321	0.2714300721
322	0.2707032651
323	0.2700225504
324	0.2694444371
325	0.2689092181
326	0.2681881644
327	0.2674733026
328	0.2670534794
329	0.2663290372
330	0.265159458
331	0.2646678928
332	0.2637920157
333	0.263097003
334	0.2625043253
335	0.2619730088
336	0.2613826487
337	0.2605098915
338	0.2596780034
339	0.2587861473
340	0.257901035
341	0.2573839026
342	0.2565523335
343	0.25641602
344	0.255730547
345	0.2550462272
346	0.2545533222
347	0.2540809572
348	0.2536267913
349	0.2524437741
350	0.2512837077
351	0.2511442871
352	0.2508355569
353	0.2499601835
354	0.2493377831
355	0.2486916635
356	0.2483677847
357	0.2478629585
358	0.2471933466
359	0.2462259498
360	0.2453331808
361	0.2443536509
362	0.243419615
363	0.2428092232
364	0.242350528
365	0.2415223453
366	0.240545182
367	0.2399690626
368	0.2393962348
369	0.2391709247
370	0.2391164353
371	0.2383741146
372	0.2375835028
373	0.2373028145
374	0.236700205
375	0.2363087522
376	0.2352869468
377	0.2343981726
378	0.234371003
379	0.2339411213
380	0.2332099172
381	0.2329507523
382	0.2322673148
383	0.2320000647
384	0.2311273474
385	0.2310726549
386	0.2306581469
387	0.2297535018
388	0.2297303907
389	0.2291312397
390	0.2282365723
391	0.227626616
392	0.2271513707
393	0.2268197122
394	0.2267817276
395	0.2264096686
396	0.2258308678
397	0.2252033833
398	0.2245955755
399	0.2237067515
400	0.2226719235
401	0.2226467493
402	0.2220268565
403	0.2217440351
404	0.2211238188
405	0.2210985198
406	0.2210747676
407	0.2210526396
408	0.2203286332
409	0.2197872193
410	0.2192609849
411	0.2187867753
412	0.2183765774
413	0.2177705244
414	0.2172342968
415	0.2168018699
416	0.2166514804
417	0.2161944863
418	0.2157598952
419	0.2153517275
420	0.2144917552
421	0.2140797691
422	0.2135269704
423	0.212678669
424	0.2122043129
425	0.2113285783
426	0.2109194231
427	0.2102924996
428	0.2095999123
429	0.2091457525
430	0.2091303662
431	0.2089664626
432	0.20808018
433	0.2078047136
434	0.2072560447
435	0.2069583798
436	0.2062650738
437	0.205918836
438	0.2052826851
439	0.204668703
440	0.2041933224
441	0.2036425389
442	0.2025993496
443	0.2023979726
444	0.2021386264
445	0.2016791151
446	0.201298034
447	0.2010583952
448	0.2003562568
449	0.1996670382
450	0.1988154107
451	0.1980345511
452	0.1974122466
453	0.1969120951
454	0.1960290504
455	0.1957953533
456	0.1951927376
457	0.1949629034
458	0.1942964167
459	0.1938076943
460	0.1934995274
461	0.192921846
462	0.1922209675
463	0.191840893
464	0.1915257287
465	0.1912491209
466	0.1905342498
467	0.1900633031
468	0.1896158638
469	0.189078298
470	0.1884005202
471	0.1881071003
472	0.1876475105
473	0.1871478046
474	0.1869097509
475	0.1862091908
476	0.1856559971
477	0.1854610257
478	0.1850777104
479	0.1848145377
480	0.1841991687
481	0.1837048
482	0.1832226726
483	0.1831751906
484	0.1824594487
485	0.1820944148
486	0.1814391045
487	0.180943847
488	0.180477012
489	0.1800790514
490	0.1795457425
491	0.179341135
492	0.1791941278
493	0.1789687138
494	0.1782491094
495	0.1779422766
496	0.1773943804
497	0.1766898115
498	0.1764943299
499	0.1761524158
